Using CUDA GPU
[OK] All hyperparameters validated successfully!
   Problem size: 5W x 5T, MAX_TIME=5
   Model: EMBEDDING_DIM=128, HEAD_NUM=8
   Training: 200 epochs, 5 episodes/epoch
  40M_50N_10T   K0=0.0414 K3=0.0411 K10=0.0410 K30=0.0393  lastAccept=23.0
  50M_50N_15T   K0=0.0868 K3=0.0868 K10=0.0867 K30=0.0867  lastAccept=19.3
  50M_70N_15T   K0=0.0773 K3=0.0772 K10=0.0771 K30=0.0769  lastAccept=19.4
  70M_100N_15T  K0=0.0962 K3=0.0961 K10=0.0960 K30=0.0959  lastAccept=22.9
=== result/SearchInLoop_seed6_tenseed_best.pt ===
  5M_5N_5T      K0=0.1904 K3=0.1828 K10=0.1739 K30=0.1652  lastAccept=11.9
  5M_7N_5T      K0=0.2451 K3=0.2381 K10=0.2347 K30=0.2341  lastAccept=7.0
  10M_15N_5T    K0=0.2241 K3=0.2232 K10=0.2206 K30=0.2160  lastAccept=13.3
  15M_15N_5T    K0=0.0946 K3=0.0927 K10=0.0920 K30=0.0907  lastAccept=12.8
  15M_20N_5T    K0=0.1661 K3=0.1646 K10=0.1596 K30=0.1547  lastAccept=20.5
  20M_30N_5T    K0=0.2086 K3=0.2070 K10=0.2040 K30=0.1985  lastAccept=17.7
  30M_30N_10T   K0=0.0110 K3=0.0106 K10=0.0102 K30=0.0093  lastAccept=19.7
  30M_40N_10T   K0=0.0313 K3=0.0307 K10=0.0299 K30=0.0287  lastAccept=23.4
  40M_50N_10T   K0=0.0270 K3=0.0266 K10=0.0255 K30=0.0244  lastAccept=17.8
  50M_50N_15T   K0=0.0830 K3=0.0830 K10=0.0829 K30=0.0829  lastAccept=19.6
  50M_70N_15T   K0=0.0775 K3=0.0774 K10=0.0773 K30=0.0771  lastAccept=19.9
  70M_100N_15T  K0=0.0969 K3=0.0967 K10=0.0966 K30=0.0965  lastAccept=18.7
=== result/SearchInLoop_seed7_tenseed_best.pt ===
  5M_5N_5T      K0=0.1904 K3=0.1828 K10=0.1739 K30=0.1652  lastAccept=11.9
  5M_7N_5T      K0=0.2451 K3=0.2381 K10=0.2347 K30=0.2341  lastAccept=7.0
  10M_15N_5T    K0=0.2241 K3=0.2232 K10=0.2206 K30=0.2160  lastAccept=13.3
  15M_15N_5T    K0=0.0939 K3=0.0920 K10=0.0913 K30=0.0900  lastAccept=12.4
  15M_20N_5T    K0=0.1661 K3=0.1646 K10=0.1596 K30=0.1547  lastAccept=20.5
  20M_30N_5T    K0=0.2086 K3=0.2070 K10=0.2040 K30=0.1985  lastAccept=17.7
  30M_30N_10T   K0=0.0140 K3=0.0136 K10=0.0127 K30=0.0116  lastAccept=25.4
  30M_40N_10T   K0=0.0393 K3=0.0385 K10=0.0358 K30=0.0335  lastAccept=22.1
  40M_50N_10T   K0=0.0360 K3=0.0352 K10=0.0341 K30=0.0307  lastAccept=25.2
  50M_50N_15T   K0=0.0891 K3=0.0890 K10=0.0890 K30=0.0889  lastAccept=20.7
  50M_70N_15T   K0=0.0778 K3=0.0777 K10=0.0774 K30=0.0772  lastAccept=21.5
  70M_100N_15T  K0=0.0979 K3=0.0978 K10=0.0976 K30=0.0974  lastAccept=23.1
=== result/SearchInLoop_seed8_tenseed_best.pt ===
  5M_5N_5T      K0=0.1875 K3=0.1746 K10=0.1672 K30=0.1598  lastAccept=11.7
  5M_7N_5T      K0=0.2451 K3=0.2381 K10=0.2347 K30=0.2341  lastAccept=7.0
  10M_15N_5T    K0=0.2241 K3=0.2232 K10=0.2206 K30=0.2160  lastAccept=13.3
  15M_15N_5T    K0=0.0939 K3=0.0920 K10=0.0913 K30=0.0900  lastAccept=12.4
  15M_20N_5T    K0=0.1661 K3=0.1646 K10=0.1596 K30=0.1547  lastAccept=20.5
  20M_30N_5T    K0=0.2086 K3=0.2070 K10=0.2040 K30=0.1985  lastAccept=17.7
  30M_30N_10T   K0=0.0219 K3=0.0217 K10=0.0212 K30=0.0207  lastAccept=20.1
  30M_40N_10T   K0=0.0596 K3=0.0593 K10=0.0586 K30=0.0575  lastAccept=23.7
  40M_50N_10T   K0=0.0418 K3=0.0415 K10=0.0414 K30=0.0401  lastAccept=21.2
  50M_50N_15T   K0=0.0900 K3=0.0900 K10=0.0899 K30=0.0899  lastAccept=18.4
  50M_70N_15T   K0=0.0775 K3=0.0774 K10=0.0772 K30=0.0769  lastAccept=25.0
  70M_100N_15T  K0=0.0985 K3=0.0983 K10=0.0982 K30=0.0979  lastAccept=26.9
=== result/SearchInLoop_seed9_tenseed_best.pt ===
  5M_5N_5T      K0=0.2867 K3=0.2812 K10=0.2783 K30=0.2717  lastAccept=11.6
  5M_7N_5T      K0=0.3298 K3=0.3183 K10=0.3135 K30=0.3054  lastAccept=7.6
  10M_15N_5T    K0=0.2601 K3=0.2568 K10=0.2471 K30=0.2450  lastAccept=14.7
  15M_15N_5T    K0=0.1160 K3=0.1145 K10=0.1137 K30=0.1126  lastAccept=15.1
  15M_20N_5T    K0=0.2031 K3=0.2031 K10=0.2003 K30=0.1965  lastAccept=16.5
  20M_30N_5T    K0=0.2713 K3=0.2700 K10=0.2668 K30=0.2664  lastAccept=13.6
  30M_30N_10T   K0=0.0225 K3=0.0222 K10=0.0217 K30=0.0212  lastAccept=21.7
  30M_40N_10T   K0=0.0597 K3=0.0592 K10=0.0587 K30=0.0571  lastAccept=26.0
  40M_50N_10T   K0=0.0417 K3=0.0412 K10=0.0411 K30=0.0399  lastAccept=21.8
  50M_50N_15T   K0=0.1057 K3=0.1057 K10=0.1057 K30=0.1057  lastAccept=14.6
  50M_70N_15T   K0=0.0927 K3=0.0926 K10=0.0925 K30=0.0923  lastAccept=23.3
  70M_100N_15T  K0=0.1022 K3=0.1022 K10=0.1021 K30=0.1020  lastAccept=17.0
=== result/SearchInLoop_seed10_tenseed_best.pt ===
  5M_5N_5T      K0=0.1871 K3=0.1795 K10=0.1718 K30=0.1652  lastAccept=11.3
  5M_7N_5T      K0=0.2451 K3=0.2381 K10=0.2347 K30=0.2341  lastAccept=7.0
  10M_15N_5T    K0=0.2481 K3=0.2451 K10=0.2361 K30=0.2271  lastAccept=14.0
  15M_15N_5T    K0=0.1075 K3=0.1055 K10=0.1027 K30=0.0970  lastAccept=16.5
  15M_20N_5T    K0=0.2099 K3=0.2047 K10=0.1970 K30=0.1774  lastAccept=21.8
  20M_30N_5T    K0=0.2574 K3=0.2542 K10=0.2440 K30=0.2206  lastAccept=26.3
  30M_30N_10T   K0=0.0142 K3=0.0136 K10=0.0124 K30=0.0115  lastAccept=21.9
  30M_40N_10T   K0=0.0406 K3=0.0398 K10=0.0373 K30=0.0351  lastAccept=23.8
  40M_50N_10T   K0=0.0385 K3=0.0379 K10=0.0353 K30=0.0325  lastAccept=24.4
  50M_50N_15T   K0=0.0831 K3=0.0831 K10=0.0830 K30=0.0829  lastAccept=19.4
  50M_70N_15T   K0=0.0761 K3=0.0760 K10=0.0758 K30=0.0754  lastAccept=23.4
  70M_100N_15T  K0=0.0969 K3=0.0967 K10=0.0966 K30=0.0963  lastAccept=24.9

=== ACROSS-SEED SUMMARY (10 seeds) ===
Tier        Config                    K=0             K=3            K=10            K=30
Small       (5,5,5)          0.2033+-0.0288    0.1928+-0.0298    0.1841+-0.0315    0.1741+-0.0327
Small       (5,7,5)          0.2744+-0.0350    0.2658+-0.0331    0.2574+-0.0281    0.2501+-0.0220
Small       (10,15,5)        0.2543+-0.0308    0.2524+-0.0299    0.2395+-0.0175    0.2305+-0.0126
Medium      (15,15,5)        0.1087+-0.0125    0.1072+-0.0129    0.1049+-0.0116    0.1006+-0.0100
Medium      (15,20,5)        0.1918+-0.0217    0.1889+-0.0202    0.1830+-0.0193    0.1720+-0.0149
Medium      (20,30,5)        0.2389+-0.0252    0.2366+-0.0247    0.2305+-0.0228    0.2188+-0.0214
Large       (30,30,10)       0.0157+-0.0044    0.0154+-0.0044    0.0146+-0.0045    0.0138+-0.0046
Large       (30,40,10)       0.0423+-0.0091    0.0417+-0.0092    0.0403+-0.0095    0.0387+-0.0095
Large       (40,50,10)       0.0357+-0.0054    0.0353+-0.0054    0.0343+-0.0055    0.0322+-0.0055
Battlefield (50,50,15)       0.0883+-0.0064    0.0883+-0.0064    0.0883+-0.0064    0.0882+-0.0064
Battlefield (50,70,15)       0.0793+-0.0049    0.0792+-0.0049    0.0790+-0.0049    0.0788+-0.0049
Battlefield (70,100,15)      0.0980+-0.0021    0.0979+-0.0021    0.0978+-0.0021    0.0976+-0.0021
            MEAN                   0.1359          0.1334          0.1295          0.1246

Reference means from earlier experiments (same instances, same protocol):
  Sequential, single pass                      0.1432
  parallel fire/hold + auction + learned edits  0.1325  (K=10)
  sequential fire/hold + auction + learned edits 0.1373 (K=10)
